year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,direct_qualifier_10,gender,main_singers,age,selection,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,release_date,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
2022,1,-,Albania,Ronela Hajati,Sekret,"Albanian, English",Pop,-,Female,1,unknown,unknown,F Minor,100,70,76,45,-6 dB,5,0,52,5,unknown,unknown,5,0,0,0,0,,,,,,,12,46,12,58,0,white,0
2022,2,-,Latvia,Citi Zeni,Eat Your Salad,English,Pop,-,Male,1,unknown,unknown,B Minor,115,69,75,59,-8 dB,1,0,34,17,unknown,unknown,0,0,4,0,0,,,,,,,14,16,39,55,0,white,0
2022,3,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,0,Female,1,unknown,unknown,C Major,93,56,68,50,-8 dB,9,0,31,3,unknown,unknown,0,0,0,0,1,93,35,21,10,14,128,7,103,56,159,0,white,0
2022,4,5,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,0,Male,1,unknown,unknown,F Major,116,18,42,39,-11 dB,87,0,11,4,unknown,unknown,0,0,0,0,1,0,78,0,21,17,78,9,11,107,118,0,white,0
2022,5,-,Slovenia,LPS,Disko,Slovene,Pop,-,Male,1,unknown,unknown,E Minor,120,61,68,60,-6 dB,0,0,5,3,unknown,unknown,0,0,4,0,0,,,,,,,17,8,7,15,0,white,0
2022,6,12,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,0,Male,1,unknown,unknown,D Major,105,82,83,32,-5 dB,14,0,12,4,unknown,unknown,1,2,2,0,1,439,192,39,26,1,631,1,202,135,337,1,white,0
2022,7,-,Bulgaria,Intelligent Music Project,Intention,English,Rock,-,Male,1,unknown,unknown,D Major,80,84,52,72,-8 dB,3,2,24,3,unknown,unknown,0,0,5,0,0,,,,,,,16,18,11,29,0,white,0
2022,8,11,Netherlands,S10,De diepte,Dutch,Ballad,0,Female,1,unknown,unknown,D Minor,87,48,32,15,-6 dB,39,0,14,3,unknown,unknown,0,0,0,0,1,42,129,12,25,11,171,2,79,142,221,0,white,0
2022,9,19,Moldova,Zdob si Zdub and Advahov Brothers,Trenuletul,"Romanian, English",Traditional,0,Male,1,unknown,unknown,C Major,142,88,70,96,-3 dB,41,0,32,14,unknown,unknown,0,0,5,0,1,239,14,35,4,7,253,8,135,19,154,0,white,0
2022,10,3,Portugal,Maro,"Saudade, saudade","English, Portuguese",Ballad,0,Female,6,unknown,unknown,Bb Minor,83,34,64,38,-11 dB,68,0,11,4,unknown,unknown,0,0,0,0,1,36,171,9,29,9,207,4,87,121,208,0,white,0
2022,11,-,Croatia,Mia Dimsic,Guilty Pleasure,"English, Croatian",Ballad,-,Female,1,unknown,unknown,F Major,84,59,53,51,-7 dB,12,0,14,6,unknown,unknown,3,0,0,1,0,,,,,,,11,33,42,75,0,white,0
2022,12,-,Denmark,Reddi,The Show,English,Rock,-,Female,1,unknown,unknown,C Major,90,80,31,21,-5 dB,2,0,37,6,unknown,unknown,0,0,3,1,0,,,,,,,13,20,35,55,0,white,0
2022,13,-,Austria,Lumix feat. Pia Maria,Halo,English,Dance,-,Female,1,unknown,unknown,Ab Major,150,91,57,69,-5 dB,0,0,53,4,unknown,unknown,0,0,0,1,0,,,,,,,15,36,6,42,0,white,0
2022,14,18,Iceland,Systur,Meo aekkandi sol,Icelandic,Traditional,0,Female,3,unknown,unknown,D Minor,100,52,58,35,-12 dB,58,4,7,3,unknown,unknown,0,0,1,1,1,10,10,2,4,23,20,10,39,64,103,0,white,0
2022,15,17,Greece,Amanda Georgiadi Tenfjord,Die Together,English,Ballad,0,Female,1,unknown,unknown,F Major,150,37,48,20,-8 dB,12,0,13,7,unknown,unknown,0,0,0,0,1,57,158,9,26,8,215,3,60,151,211,0,white,0
2022,16,7,Norway,Subwoolfer,Give That Wolf a Banana,English,Pop,0,Male,2,unknown,unknown,G Minor,124,53,74,55,-10 dB,20,0,9,4,unknown,unknown,4,0,0,0,1,146,36,32,10,10,182,6,104,73,177,0,unknown,0
2022,17,8,Armenia,Rosa Linn,Snap,English,Ballad,0,Female,1,unknown,unknown,C Major,170,64,56,53,-8 dB,11,0,45,6,unknown,unknown,0,0,0,1,1,21,40,4,10,20,61,5,105,82,187,0,white,0
2022,1,4,Finland,The Rasmus,Jezebel,English,Rock,0,Male,1,unknown,unknown,B Minor,116,87,50,49,-4 dB,0,0,8,4,unknown,unknown,0,0,3,0,1,26,12,8,3,21,38,7,99,63,162,0,white,0
2022,2,-,Israel,Michael Ben David,I.M,English,Pop,-,Male,1,unknown,unknown,Ab Minor,120,82,70,45,-7 dB,1,0,13,6,unknown,unknown,4,0,0,0,0,,,,,,,13,27,34,61,0,white,0
2022,3,24,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",Traditional,0,Female,1,unknown,unknown,C Major,136,71,92,63,-7 dB,1,0,17,8,unknown,unknown,5,0,0,0,1,225,87,34,15,5,312,3,174,63,237,0,white,0
2022,4,15,Azerbaijan,Nadir Rustamli,Fade to Black,English,Ballad,0,Male,1,unknown,unknown,A Minor,79,30,34,30,-10 dB,19,0,14,6,unknown,unknown,1,0,0,0,1,3,103,1,19,16,106,10,0,96,96,0,middle eastern,0
2022,5,-,Georgia,Circus Mircus,Lock Me In,English,Rock,-,Male,1,unknown,unknown,D Major,107,76,79,84,-9 dB,0,0,30,4,unknown,unknown,0,0,3,1,0,,,,,,,18,9,13,22,0,unknown,0
2022,6,-,Malta,Emma Muscat,I Am What I Am,English,Pop,-,Female,1,unknown,unknown,G Major,98,71,56,38,-5 dB,4,0,9,3,unknown,unknown,4,0,0,1,0,,,,,,,16,20,27,47,0,white,0
2022,7,-,San Marino,Achille Lauro,Stripper,"Italian, English",Rock,-,Male,1,unknown,unknown,A Major,140,80,60,55,-6 dB,0,0,8,10,unknown,unknown,0,0,5,0,0,,,,,,,14,29,21,50,0,white,0
2022,8,21,Australia,Sheldon Riley,Not the Same,English,Ballad,0,Male,1,unknown,unknown,Bb Minor,128,43,36,38,-10 dB,66,0,14,4,unknown,unknown,0,0,0,0,1,2,123,1,23,15,125,2,74,169,243,0,white,0
2022,9,-,Cyprus,Andromache,Ela,"English, Greek",Pop,-,Female,1,unknown,unknown,Eb Minor,98,63,66,65,-7 dB,24,0,6,9,unknown,unknown,2,0,0,0,0,,,,,,,12,54,9,63,0,white,0
2022,10,-,Ireland,Brooke,That's Rich,English,Pop,-,Female,1,unknown,unknown,A Major,122,60,68,56,-4 dB,0,0,34,3,unknown,unknown,4,0,0,0,0,,,,,,,15,35,12,47,0,white,0
2022,11,-,North Macedonia,Andrea,Circles,English,Ballad,-,Female,1,unknown,unknown,Cs Minor,144,71,54,22,-5 dB,48,0,17,3,unknown,unknown,0,0,0,0,0,,,,,,,11,20,56,76,0,white,0
2022,12,25,Estonia,Stefan,Hope,English,Pop,0,Male,1,unknown,unknown,Bb Minor,123,78,52,55,-5 dB,19,0,10,4,unknown,unknown,0,0,0,1,1,98,43,19,8,13,141,5,96,113,209,0,white,0
2022,13,2,Romania,WRS,Llamame,"English, Spanish",Pop,0,Male,1,unknown,unknown,F Minor,120,76,76,66,-6 dB,6,0,15,13,unknown,unknown,4,0,0,0,1,53,12,12,3,18,65,9,100,18,118,0,white,0
2022,14,23,Poland,Ochman,River,English,Ballad,0,Male,1,unknown,unknown,Ab Major,140,67,51,33,-5 dB,56,0,12,4,unknown,unknown,4,0,0,0,1,105,46,22,9,12,151,6,114,84,198,0,white,0
2022,15,-,Montenegro,Vladana,Breathe,"English, Italian",Ballad,-,Female,1,unknown,unknown,G Minor,77,46,43,20,-7 dB,55,0,10,3,unknown,unknown,0,0,0,0,0,,,,,,,17,22,11,33,0,white,0
2022,16,16,Belgium,Jeremie Makiese,Miss You,English,Pop,0,Male,1,unknown,unknown,Fs Minor,144,53,63,28,-6 dB,24,0,13,5,unknown,unknown,4,0,0,0,1,5,59,2,13,19,64,8,46,105,151,0,black,0
2022,17,20,Sweden,Cornelia Jakobs,Hold Me Closer,English,Ballad,0,Female,1,unknown,unknown,Fs Major,97,62,49,17,-8 dB,11,0,14,4,unknown,unknown,0,0,0,0,1,180,258,33,33,4,438,1,174,222,396,0,unknown,0
2022,18,1,Czech Republic,We Are Domi,Lights Off,English,Dance,0,Female,1,unknown,unknown,A Minor,126,79,59,52,-6 dB,15,0,21,11,unknown,unknown,0,0,2,0,1,5,33,1,11,22,38,4,125,102,227,0,white,0
2022,-,9,Italy,Mahmood and Blanco,Brividi,Italian,Ballad,1,Male,2,unknown,unknown,G Major,123,61,52,34,-4 dB,45,0,25,3,unknown,unknown,0,0,1,0,-,110,158,23,26,6,268,,,,,0,white,1
2022,-,10,Spain,Chanel,SloMo,"Spanish, English",Pop,1,Female,1,unknown,unknown,Cs Minor,105,81,73,59,-3 dB,13,0,9,6,unknown,unknown,5,0,0,0,-,228,231,38,34,3,459,,,,,0,white,0
2022,-,13,Germany,Malik Harris,Rockstars,English,Ballad,1,Male,1,unknown,unknown,G Major,81,64,65,52,-6 dB,45,0,38,23,unknown,unknown,0,0,0,1,-,6,0,3,0,25,6,,,,,0,white,0
2022,-,22,United Kingdom,Sam Ryder,Space Man,English,Pop,1,Male,1,unknown,unknown,B Major,80,83,47,33,-2 dB,18,0,10,5,unknown,unknown,0,0,2,1,-,183,283,34,35,2,466,,,,,0,white,0
2022,-,6,France,Alvan and Ahez,Fulenn,Breton,Traditional,1,Mix,4,unknown,unknown,Fs Major,120,84,74,48,-7 dB,1,0,24,12,unknown,unknown,1,0,0,1,-,8,9,6,3,24,17,,,,,0,white,0
2021,1,18,Lithuania,The Roop,Discoteque,English,Dance,0,Male,1,unknown,unknown,F Major,115,80,83,63,-6 dB,5,0,13,6,unknown,unknown,2,2,2,0,1,165,55,27,12,8,220,4,137,66,203,0,white,0
2021,2,-,Slovenia,Ana Soklic,Amen,English,Ballad,-,Female,1,unknown,unknown,Ab Minor,81,40,45,21,-10 dB,48,0,15,5,unknown,unknown,0,0,0,0,0,,,,,,,13,8,36,44,0,white,0
2021,3,5,Russia,Manizha,Russian Woman,"Russian, English",Traditional,0,Female,1,unknown,unknown,E Minor,102,70,89,65,-7 dB,20,0,7,19,unknown,unknown,0,4,0,0,1,100,104,22,21,9,204,3,108,117,225,0,white,0
2021,4,25,Sweden,Tusse,Voices,English,Pop,0,Male,1,unknown,unknown,Bb Minor,90,76,50,40,-5 dB,0,0,13,4,unknown,unknown,4,0,0,0,1,63,46,18,10,14,109,7,51,91,142,0,black,0
2021,5,-,Australia,Montaigne,Technicolour,English,Pop,-,Female,1,unknown,unknown,A Minor,119,57,67,27,-6 dB,7,0,27,3,unknown,unknown,3,0,0,0,0,,,,,,,14,2,26,28,0,white,0
2021,6,-,North Macedonia,Vasil,Here I Stand,English,Ballad,-,Male,1,unknown,unknown,G Major,138,20,32,13,-11 dB,51,0,32,4,unknown,unknown,0,0,0,0,0,,,,,,,15,11,12,23,0,white,0
2021,7,-,Ireland,Lesley Roy,Maps,English,Pop,-,Female,1,unknown,unknown,G Major,143,83,54,55,-7 dB,2,0,36,4,unknown,unknown,0,0,0,0,0,,,,,,,16,4,16,20,0,white,0
2021,8,1,Cyprus,Elena Tsagrinou,El Diablo,English,Pop,0,Female,1,unknown,unknown,A Minor,114,66,66,62,-8 dB,0,0,84,13,unknown,unknown,4,0,0,0,1,44,50,7,11,16,94,6,78,92,170,0,white,0
2021,9,22,Norway,Tix,Fallen Angel,English,Pop,0,Male,1,unknown,unknown,Cs Major,93,65,54,28,-5 dB,7,0,11,3,unknown,unknown,4,0,0,0,1,60,15,16,5,18,75,10,77,38,115,0,white,0
2021,10,-,Croatia,Albina,Tick-Tock,"English, Croatian",Pop,-,Female,1,unknown,unknown,E Minor,126,76,77,76,-5 dB,5,0,34,4,unknown,unknown,4,0,0,0,0,,,,,,,11,53,57,110,0,white,0
2021,11,4,Belgium,Hooverphonic,The Wrong Place,English,Ballad,0,Female,1,unknown,unknown,F Major,80,73,49,25,-4 dB,5,0,16,4,unknown,unknown,0,1,3,0,1,3,71,2,17,19,74,9,47,70,117,0,white,0
2021,12,3,Israel,Eden Alene,Set Me Free,English,Pop,0,Female,1,unknown,unknown,Cs Minor,107,66,75,47,-7 dB,28,0,10,8,unknown,unknown,4,0,0,0,1,20,73,4,17,17,93,5,93,99,192,0,black,0
2021,13,-,Romania,Roxen,Amnesia,English,Ballad,-,Female,1,unknown,unknown,Bb Minor,120,69,58,25,-6 dB,13,0,16,14,unknown,unknown,5,0,0,0,0,,,,,,,12,27,58,85,0,white,0
2021,14,21,Azerbaijan,Efendi,Mata Hari,English,Pop,0,Female,1,unknown,unknown,E Minor,100,68,71,46,-6 dB,1,0,26,4,unknown,unknown,4,0,0,0,1,33,32,12,9,20,65,8,91,47,138,0,middle eastern,0
2021,15,19,Ukraine,Go_A,Shum,Ukrainian,Traditional,0,Female,1,unknown,unknown,E Major,118,74,53,50,-5 dB,5,0,11,6,unknown,unknown,2,0,3,0,1,267,97,38,19,5,364,2,164,103,267,0,white,0
2021,16,6,Malta,Destiny,Je me casse,English,Pop,0,Female,1,unknown,unknown,Ab Minor,112,87,76,78,-4 dB,15,0,28,11,unknown,unknown,4,0,0,0,1,47,208,15,35,7,255,1,151,174,325,1,mixed,0
2021,1,-,San Marino,Senhit,Adrenalina,English,Dance,-,Mix,2,unknown,unknown,Bb Minor,104,89,67,53,-6 dB,0,0,39,8,unknown,unknown,4,0,0,0,1,13,37,3,7,,,9,42,76,118,0,black,0
2021,2,-,Estonia,Uku Suviste,The Lucky One,English,Ballad,-,Male,1,unknown,unknown,Ab Minor,176,64,40,41,-9 dB,4,0,9,7,unknown,unknown,0,0,0,0,0,,,,,,,13,29,29,58,0,white,0
2021,3,-,Czech Republic,Benny Cristo,Omaga,English,Ballad,-,Male,1,unknown,unknown,Fs Major,122,87,72,89,-6 dB,11,0,34,3,unknown,unknown,4,0,0,0,0,,,,,,,15,0,23,23,0,white,0
2021,4,10,Greece,Stefania,Last Dance,English,Pop,0,Female,1,unknown,unknown,D Minor,147,91,53,39,-5 dB,2,0,7,4,unknown,unknown,4,0,0,0,1,79,91,11,15,10,170,6,80,104,184,0,white,0
2021,5,-,Austria,Vincent Bueno,Amen,English,Ballad,-,Male,1,unknown,unknown,Cs Major,80,38,44,8,-10 dB,1,0,8,4,unknown,unknown,0,0,0,0,0,,,,,,,12,13,53,66,0,asian,0
2021,6,-,Poland,Rafal,The Ride,English,Pop,-,Male,1,unknown,unknown,B Minor,132,77,69,93,-7 dB,40,0,25,3,unknown,unknown,4,0,0,0,0,,,,,,,14,17,18,35,0,white,0
2021,7,14,Moldova,Natalia Gordienko,Sugar,English,Pop,0,Female,1,unknown,unknown,B Minor,120,76,69,51,-7 dB,0,1,13,5,unknown,unknown,4,0,0,0,1,62,53,11,6,13,115,7,123,56,179,0,white,0
2021,8,-,Iceland,Dadi og Gagnamagnio,10 Years,English,Pop,-,Male,1,unknown,unknown,D Minor,123,62,80,44,-7 dB,1,0,9,4,unknown,unknown,0,2,3,0,1,180,198,29,28,,,2,148,140,288,0,white,0
2021,9,8,Serbia,Hurricane,Loco Loco,Serbian,Pop,0,Female,3,unknown,unknown,C Major,105,92,65,60,-4 dB,17,0,16,12,unknown,unknown,0,0,0,0,1,82,20,12,3,15,102,8,68,56,124,0,white,0
2021,10,-,Georgia,Tornike Kipiani,You,English,Ballad,-,Male,1,unknown,unknown,C Major,134,37,50,12,-8 dB,24,4,19,2,unknown,unknown,0,0,0,0,0,,,,,,,16,15,1,16,0,white,0
2021,11,2,Albania,Anxhela Peristeri,Karma,Albanian,Ballad,0,Female,1,unknown,unknown,G Minor,150,63,52,19,-10 dB,0,0,13,4,unknown,unknown,0,0,0,0,1,35,22,5,4,21,57,10,38,74,112,0,white,0
2021,12,7,Portugal,The Black Mamba,Love Is on My Side,English,Traditional,0,Male,1,unknown,unknown,E Major,66,42,28,24,-7 dB,34,0,20,3,unknown,unknown,0,0,4,0,1,27,126,6,22,12,153,4,111,128,239,0,white,0
2021,13,17,Bulgaria,Victoria,Growing Up Is Getting Old,English,Ballad,0,Female,1,unknown,unknown,G Major,93,18,52,25,-8 dB,69,0,9,3,unknown,unknown,0,0,0,0,1,30,140,5,26,11,170,3,101,149,250,0,white,0
2021,14,16,Finland,Blind Channel,Dark Side,English,Rock,0,Male,2,unknown,unknown,G Major,98,96,57,44,-4 dB,0,0,27,11,unknown,unknown,0,1,3,0,1,218,83,37,19,6,301,5,150,84,234,0,white,0
2021,15,-,Latvia,Samanta Tina,The Moon Is Rising,English,Ballad,-,Female,1,unknown,unknown,Bb Minor,150,63,66,33,-8 dB,4,0,14,14,unknown,unknown,3,0,0,0,0,,,,,,,17,10,4,14,0,white,0
2021,16,11,Switzerland,Gjon's Tears,Tout l'univers,French,Ballad,0,Male,1,unknown,unknown,A Minor,123,37,52,19,-9 dB,83,0,15,3,unknown,unknown,0,0,0,0,1,165,267,34,34,3,432,1,135,156,291,0,white,0
2021,17,-,Denmark,Fyr og Flamme,Ove os pa hinanden,Danish,Pop,-,Male,2,unknown,unknown,C Major,124,87,68,96,-6 dB,1,0,34,3,unknown,unknown,0,3,0,1,0,,,,,,,11,80,9,89,0,white,0
2021,-,23,Netherlands,Jeangu Macrooy,Birth of a New Age,"English, Sranan Tongo",Ballad,1,Male,1,unknown,unknown,C Minor,95,72,72,54,-5 dB,48,0,23,6,unknown,unknown,1,2,0,0,-,0,11,0,5,11,23,,,,,0,black,1
2021,-,13,Spain,Blas Canto,Voy a quedarme,Spanish,Ballad,1,Male,1,unknown,unknown,Eb Major,76,72,52,36,-5 dB,21,0,8,5,unknown,unknown,0,0,0,0,-,0,6,0,2,24,6,,,,,0,white,0
2021,-,9,United Kingdom,James Newman,Embers,English,Pop,1,Male,1,unknown,unknown,Fs Major,126,82,68,72,-5 dB,0,0,11,6,unknown,unknown,0,0,4,0,-,0,0,0,0,26,0,,,,,0,white,0
2021,-,15,Germany,Jendrik,I Don't Feel Hate,English,Pop,1,Male,1,unknown,unknown,F Minor,114,84,83,75,-5 dB,19,0,3,21,unknown,unknown,1,0,3,0,-,0,3,0,2,25,3,,,,,0,white,0
2021,-,20,France,Barbara Pravi,Voila,French,Ballad,1,Female,1,unknown,unknown,D Minor,135,34,45,60,-9 dB,77,0,30,6,unknown,unknown,0,0,0,0,-,251,248,38,33,2,499,,,,,0,white,0
2021,-,24,Italy,Maneskin,Zitti e buoni,Italian,Rock,1,Male,1,unknown,unknown,E Minor,94,63,64,0,,0,42,7,-3 dB,unknown,unknown,0,0,3,0,-,318,206,38,28,1,524,,,,,0,white,0
2019,1,11,Cyprus,Tamta,Replay,English,Dance,0,Female,1,unknown,unknown,B Minor,102,68,71,50,5 dB,5,0,6,7,unknown,unknown,4,0,0,0,1,32,77,4,15,13,109,9,54,95,149,0,white,0
2019,2,-,Montenegro,D mol,Heaven,English,Pop,-,Mix,6,unknown,unknown,D Major,92,73,53,47,8 dB,21,0,31,5,unknown,unknown,0,0,0,0,0,,,,,,,16,15,31,46,0,white,0
2019,3,-,Finland,Darude feat. Sebastian Rejman,Look Away,English,Dance,-,Male,1,unknown,unknown,B Minor,126,89,50,48,4 dB,1,0,15,5,unknown,unknown,1,0,1,0,0,,,,,,,17,14,9,23,0,white,0
2019,4,-,Poland,Tulia,Fire of Love,"Polish, English",Traditional,-,Female,4,unknown,unknown,A Major,96,78,59,78,4 dB,2,21,64,3,unknown,unknown,0,0,0,0,0,,,,,,,11,60,60,120,0,white,0
2019,5,10,Slovenia,Zala Kralj & Gasper santl,Sebi,Slovene,Ballad,0,Mix,2,unknown,unknown,G Minor,108,65,78,74,7 dB,18,2,16,4,unknown,unknown,0,0,0,1,1,59,46,13,9,15,105,6,93,74,167,0,white,0
2019,6,3,Czech Republic,Lake Malawi,Friend of a Friend,English,Pop,0,Male,1,unknown,unknown,A Minor,106,74,70,41,5 dB,27,0,7,6,unknown,unknown,0,0,2,0,1,7,150,4,26,11,157,2,85,157,242,0,white,0
2019,7,-,Hungary,Joci Papai,Az en apam,Hungarian,Ballad,-,Male,1,unknown,unknown,Eb Minor,96,45,63,33,8 dB,55,0,10,4,unknown,unknown,0,0,0,0,0,,,,,,,12,32,65,97,0,romani ,0
2019,8,19,Belarus,ZENA,Like It,English,Dance,0,Female,1,unknown,unknown,G Minor,105,80,71,35,8 dB,29,0,20,5,unknown,unknown,2,2,0,0,1,13,18,2,5,24,31,10,44,78,122,0,white,0
2019,9,23,Serbia,Nevena Bozovic,Kruna,Serbian,Ballad,0,Female,1,unknown,unknown,Ab Minor,158,48,20,16,-6 dB,21,0,13,3,unknown,unknown,0,0,0,0,1,54,35,7,8,18,89,7,65,91,156,0,white,0
2019,10,-,Belgium,Eliot,Wake Up,English,Ballad,-,Male,1,unknown,unknown,G Minor,145,20,37,23,-12 dB,89,0,9,4,unknown,unknown,0,0,2,0,0,,,,,,,13,20,50,70,0,white,0
2019,11,-,Georgia,Oto Nemsadze,Keep on Going,Georgian,Traditional,-,Male,1,unknown,unknown,B Minor,120,70,32,30,-5 dB,49,0,26,4,unknown,unknown,0,5,0,0,0,,,,,,,14,33,29,62,0,white,0
2019,12,25,Australia,Kate Miller-Heidke,Zero Gravity,English,Opera,0,Female,1,unknown,unknown,Fs Major,132,54,46,26,-2 dB,57,0,41,4,unknown,unknown,2,0,0,0,1,131,153,30,24,9,284,1,140,121,261,0,white,0
2019,13,17,Iceland,Hatari,Hatrio mun sigra,Icelandic,Dance,0,Mix,2,unknown,unknown,E Minor,110,67,57,48,-10 dB,0,0,9,8,unknown,unknown,4,0,0,0,1,186,46,34,9,10,232,3,151,70,221,0,white,0
2019,14,18,Estonia,Victor Crone,Storm,English,Pop,0,Male,1,unknown,unknown,D Major,128,59,62,29,-5 dB,5,0,8,3,unknown,unknown,0,0,0,1,1,48,28,10,7,20,76,4,133,65,198,0,white,0
2019,15,-,Portugal,Conan Osiris,TelemOveis,Portuguese,Traditional,-,Male,1,unknown,unknown,G Major,123,37,71,24,-12 dB,62,3,8,5,unknown,unknown,1,0,0,0,0,,,,,,,15,43,8,51,0,white,0
2019,16,13,Greece,Katerine Duska,Better Love,English,Pop,0,Female,1,unknown,unknown,Ab Major,88,69,37,35,5 dB,1,0,9,6,unknown,unknown,2,3,0,0,1,24,50,3,8,21,74,5,54,131,185,0,white,0
2019,17,7,San Marino,Serhat,Say Na Na Na,English,Dance,0,Male,1,unknown,unknown,Db Minor,118,92,68,74,5 dB,0,0,36,8,unknown,unknown,0,5,0,0,1,65,12,11,3,19,77,8,124,26,150,0,white,0
2019,1,-,Armenia,Srbuk,Walking Out,English,Pop,-,Female,1,unknown,unknown,Db Major,130,57,43,17,8 dB,0,23,10,4,unknown,unknown,0,0,0,0,0,,,,,,,16,23,26,49,0,white,0
2019,2,-,Ireland,Sarah McTernan,22,English,Pop,-,Female,1,unknown,unknown,C Major,125,45,71,67,9 dB,12,0,65,5,unknown,unknown,2,0,0,0,0,,,,,,,18,3,13,16,0,white,0
2019,3,-,Moldova,Anna Odobescu,Stay,English,Ballad,-,Female,1,unknown,unknown,C Minor,156,62,42,24,5 dB,29,0,20,3,unknown,unknown,1,0,0,0,0,,,,,,,12,27,58,85,0,white,0
2019,4,24,Switzerland,Luca Hanni,She Got Me,English,Dance,0,Male,1,unknown,unknown,B Minor,97,75,66,48,6 dB,6,0,8,5,unknown,unknown,4,0,0,0,1,212,152,38,28,4,364,4,137,95,232,0,white,0
2019,5,-,Latvia,Carousel,That Night,English,Pop,-,Female,1,unknown,unknown,G Minor,93,46,74,67,15 dB,26,80,10,5,unknown,unknown,0,0,3,0,0,,,,,,,15,13,37,50,0,white,0
